Rank,Stadium,Capacity,City,State,Year.opened,Type,Tenant,Link
107,Chase Field,"49,033",Phoenix,Arizona,1998,Baseball,Arizona Diamondbacks,https://en.wikipedia.org/wiki/Chase_Field
108,Oriole Park at Camden Yards,"48,876",Baltimore,Maryland,1992,Baseball,Baltimore Orioles,https://en.wikipedia.org/wiki/Oriole_Park_at_Camden_Yards
109,Ryan Field,"47,130",Evanston,Illinois,1996,Football,Northwestern Wildcats,https://en.wikipedia.org/wiki/Ryan_Field_(stadium)
110,Safeco Field,"47,116",Seattle,Washington,1999,Baseball,Seattle Mariners,https://en.wikipedia.org/wiki/Safeco_Field
111,Busch Stadium,"46,861",St. Louis,Missouri,2006,Baseball,St. Louis Cardinals,https://en.wikipedia.org/wiki/Busch_Stadium
112,Reser Stadium,"45,674",Corvallis,Oregon,1953,Football,Oregon State Beavers,https://en.wikipedia.org/wiki/Reser_Stadium
113,Rice-Eccles Stadium,"45,634",Salt Lake City,Utah,1998,Football,Utah Utes,https://en.wikipedia.org/wiki/Rice-Eccles_Stadium
114,Spectrum Stadium,"45,301",Orlando,Florida,2007,Football,UCF Knights,https://en.wikipedia.org/wiki/Spectrum_Stadium
115,McLane Stadium,"45,140",Waco,Texas,2014,Football,Baylor Bears,https://en.wikipedia.org/wiki/McLane_Stadium
116,Angel Stadium of Anaheim,"45,050",Anaheim,California,1966,Baseball,Los Angeles Angels,https://en.wikipedia.org/wiki/Angel_Stadium_of_Anaheim
117,Alumni Stadium,"44,500",Chestnut Hill,Massachusetts,1957,Football,Boston College Eagles,https://en.wikipedia.org/wiki/Alumni_Stadium
118,Amon G. Carter Stadium,"44,008",Fort Worth,Texas,1930,Football,"TCU Horned Frogs, The Bell Helicopter Armed Forces Bowl",https://en.wikipedia.org/wiki/Amon_G._Carter_Stadium
119,Citizens Bank Park,"43,647",Philadelphia,Pennsylvania,2004,Baseball,Philadelphia Phillies,https://en.wikipedia.org/wiki/Citizens_Bank_Park
120,Petco Park,"42,445",San Diego,California,2004,Baseball,San Diego Padres,https://en.wikipedia.org/wiki/Petco_Park
121,Great American Ball Park,"42,059",Cincinnati,Ohio,2003,Baseball,Cincinnati Reds,https://en.wikipedia.org/wiki/Great_American_Ball_Park
122,Miller Park,"41,900",Milwaukee,Wisconsin,2001,Baseball,Milwaukee Brewers,https://en.wikipedia.org/wiki/Miller_Park_(Milwaukee)
123,Nationals Park,"41,888","Washington, D.C.",District of Columbia,2008,Baseball,Washington Nationals,https://en.wikipedia.org/wiki/Nationals_Park
124,Citi Field,"41,800","Flushing, New York",New York,2009,Baseball,New York Mets,https://en.wikipedia.org/wiki/Citi_Field
125,Comerica Park,"41,782",Detroit,Michigan,2000,Baseball,Detroit Tigers,https://en.wikipedia.org/wiki/Comerica_Park
126,AT&T Park,"41,503",San Francisco,California,2000,Baseball,"San Francisco Giants, Fight Hunger Bowl",https://en.wikipedia.org/wiki/AT%26T_Park
127,Wrigley Field,"41,160",Chicago,Illinois,1914,Baseball,Chicago Cubs,https://en.wikipedia.org/wiki/Wrigley_Field
128,Bulldog Stadium,"41,031",Fresno,California,1980,Football,Fresno State Bulldogs,https://en.wikipedia.org/wiki/Bulldog_Stadium
129,Minute Maid Park,"40,950",Houston,Texas,2000,Baseball,Houston Astros,https://en.wikipedia.org/wiki/Minute_Maid_Park
