Rank,Stadium,Capacity,City,State,Year.opened,Type,Tenant,Link
175,H. A. Chapman Stadium,"30,000",Tulsa,Oklahoma,1930,Football,Tulsa Golden Hurricane,https://en.wikipedia.org/wiki/Skelly_Field_at_H._A._Chapman_Stadium
176,InfoCision Stadium – Summa Field,"30,000",Akron,Ohio,2009,Football,Akron Zips,https://en.wikipedia.org/wiki/InfoCision_Stadium_%E2%80%93_Summa_Field
177,Veterans Memorial Stadium,"30,000",Troy,Alabama,1950,Football,Troy Trojans,https://en.wikipedia.org/wiki/Veterans_Memorial_Stadium_(Troy_University)
178,"William ""Dick"" Price Stadium","30,000",Norfolk,Virginia,1997,Football,Norfolk State Spartans,https://en.wikipedia.org/wiki/William_%22Dick%22_Price_Stadium
179,Mackay Stadium,"30,000",Reno,Nevada,1966,Football,Nevada Wolf Pack and women's soccer,https://en.wikipedia.org/wiki/Mackay_Stadium
180,UB Stadium,"29,013",Amherst,New York,1993,Football,Buffalo Bulls,https://en.wikipedia.org/wiki/University_at_Buffalo_Stadium
181,Ace W. Mumford Stadium,"29,000",Baton Rouge,Louisiana,1928,Football,Southern Jaguars,https://en.wikipedia.org/wiki/Ace_W._Mumford_Stadium
182,Joe Albi Stadium,"28,646",Spokane,Washington,1950,Football,"Spokane Spiders, Spokane Black Widows, local high schools",https://en.wikipedia.org/wiki/Joe_Albi_Stadium
183,Doyt L. Perry Stadium,"28,599",Bowling Green,Ohio,1966,Football,Bowling Green Falcons,https://en.wikipedia.org/wiki/Doyt_Perry_Stadium
184,Princeton University Stadium,"27,800",Princeton,New Jersey,1998,Football,Princeton Tigers,https://en.wikipedia.org/wiki/Princeton_University_Stadium
185,StubHub Center,"27,000",Carson,California,2003,Soccer,Los Angeles Galaxy Los Angeles Chargers,https://en.wikipedia.org/wiki/StubHub_Center
186,The Glass Bowl,"26,248",Toledo,Ohio,1937,Football,Toledo Rockets,https://en.wikipedia.org/wiki/Glass_Bowl
187,Eddie Robinson Stadium,"25,600",Grambling,Louisiana,1983,Football,Grambling State Tigers,https://en.wikipedia.org/wiki/Eddie_Robinson_Stadium
188,Schoellkopf Field,"25,597",Ithaca,New York,1915,Football,Cornell Big Red,https://en.wikipedia.org/wiki/Schoellkopf_Field
189,Bragg Memorial Stadium,"25,500",Tallahassee,Florida,1957,Football,Florida A&M Rattlers,https://en.wikipedia.org/wiki/Bragg_Memorial_Stadium
190,John B. and June M. Scheumann Stadium,"25,400",Muncie,Indiana,1967,Football,Ball State Cardinals,https://en.wikipedia.org/wiki/Scheumann_Stadium
191,Dix Stadium,"25,319[48]",Kent,Ohio,1969,Football,Kent State Golden Flashes,https://en.wikipedia.org/wiki/Dix_Stadium
192,Washington–Grizzly Stadium,"25,200",Missoula,Montana,1986,Football,Montana Grizzlies,https://en.wikipedia.org/wiki/Washington%E2%80%93Grizzly_Stadium
193,Red Bull Arena,"25,189",Harrison,New Jersey,2010,Soccer,New York Red Bulls,https://en.wikipedia.org/wiki/Red_Bull_Arena_(New_Jersey)
194,Bridgeforth Stadium,"24,877",Harrisonburg,Virginia,1975,Football,James Madison Dukes,https://en.wikipedia.org/wiki/Bridgeforth_Stadium_and_Zane_Showker_Field
195,Cramton Bowl,"24,600",Montgomery,Alabama,1922,Football,Alabama State Hornets,https://en.wikipedia.org/wiki/Cramton_Bowl
196,Fred C. Yager Stadium,"24,286",Oxford,Ohio,1983,Football,Miami RedHawks,https://en.wikipedia.org/wiki/Yager_Stadium_(Miami_University)
197,TD Ameritrade Park Omaha,"24,000",Omaha,Nebraska,2011,Baseball,"Creighton Bluejays, NCAA College World Series",https://en.wikipedia.org/wiki/TD_Ameritrade_Park_Omaha
198,Don Peden Stadium,"24,000",Athens,Ohio,1929,Football,Ohio Bobcats,https://en.wikipedia.org/wiki/Peden_Stadium
##,Arthur Ashe Stadium,"23,711",Flushing Meadows,New York,1997,Tennis,U.S. Open,https://en.wikipedia.org/wiki/Arthur_Ashe_Stadium
199,Fitton Field,"23,500",Worcester,Massachusetts,1924,Football,Holy Cross Crusaders,https://en.wikipedia.org/wiki/Fitton_Field
200,Kidd Brewer Stadium,"23,150",Boone,North Carolina,1962,Football,Appalachian State Mountaineers,https://en.wikipedia.org/wiki/Kidd_Brewer_Stadium
201,Jack Spinks Stadium,"22,500",Lorman,Mississippi,1992,Football,Alcorn State Braves,https://en.wikipedia.org/wiki/Jack_Spinks_Stadium
202,Maverik Stadium,"22,059",Logan,Utah,1968,Football,Utah State Aggies,https://en.wikipedia.org/wiki/Maverik_Stadium
203,BBVA Compass Stadium,"22,000",Houston,Texas,2012,Football,"Houston Dynamo, Texas Southern Tigers football",https://en.wikipedia.org/wiki/BBVA_Compass_Stadium
204,Delaware Stadium,"22,000",Newark,Delaware,1952,Football,Delaware Fightin' Blue Hens,https://en.wikipedia.org/wiki/Delaware_Stadium
205,Houchens Industries–L. T. Smith Stadium,"22,000",Bowling Green,Kentucky,1968,Football,Western Kentucky Hilltoppers,https://en.wikipedia.org/wiki/Houchens_Industries%E2%80%93L._T._Smith_Stadium
206,Oliver C. Dawson Stadium,"22,000",Orangeburg,South Carolina,1955,Football,South Carolina State Bulldogs,https://en.wikipedia.org/wiki/Oliver_C._Dawson_Stadium
207,Kidd Brewer Stadium,"21,650",Boone,North Carolina,1962,Football,Appalachian State Mountaineers,https://en.wikipedia.org/wiki/Kidd_Brewer_Stadium
208,Hornet Stadium,"21,650",Sacramento,California,1969,Football,Sacramento State Hornets,https://en.wikipedia.org/wiki/Hornet_Stadium_(Sacramento_State)
209,Aggie Stadium,"21,500",Greensboro,North Carolina,1981,Football,North Carolina A&T Aggies,https://en.wikipedia.org/wiki/Aggie_Stadium_(North_Carolina_A%26T)
210,Johnson Hagood Stadium,"21,000",Charleston,South Carolina,1946,Football,The Citadel Bulldogs,https://en.wikipedia.org/wiki/Johnson_Hagood_Stadium
211,Louis Crews Stadium,"21,000",Huntsville,Alabama,1996,Football,Alabama A&M Bulldogs,https://en.wikipedia.org/wiki/Louis_Crews_Stadium
212,Finley Stadium,"20,668",Chattanooga,Tennessee,1997,Football,Chattanooga Mocs,https://en.wikipedia.org/wiki/Finley_Stadium
213,Stambaugh Stadium,"20,630",Youngstown,Ohio,1982,Football,Youngstown State Penguins,https://en.wikipedia.org/wiki/Stambaugh_Stadium
214,Quicken Loans Arena,"20,562",Cleveland,Ohio,1994,Basketball,Cleveland Cavaliers,https://en.wikipedia.org/wiki/Quicken_Loans_Arena
215,FC Dallas Stadium,"20,500",Frisco,Texas,2005,Soccer,"FC Dallas, NCAA Division I Football Championship Game (FCS)",https://en.wikipedia.org/wiki/FC_Dallas_Stadium
216,Columbus Crew Stadium,"20,455",Columbus,Ohio,1999,Soccer,Columbus Crew,https://en.wikipedia.org/wiki/Columbus_Crew_Stadium
217,Lockhart Stadium,"20,450",Fort Lauderdale,Florida,1959,Soccer,Fort Lauderdale Strikers,https://en.wikipedia.org/wiki/Lockhart_Stadium
218,Providence Park,"20,438",Portland,Oregon,1926,Soccer,Portland Timbers,https://en.wikipedia.org/wiki/Providence_Park
219,Hughes Stadium,"20,311",Sacramento,California,1928,Multi-purpose,Sacramento Republic FC,https://en.wikipedia.org/wiki/Charles_C._Hughes_Stadium
220,Foreman Field at S.B. Ballard Stadium,"20,118",Norfolk,Virginia,1936,Football,Old Dominion Monarchs football,https://en.wikipedia.org/wiki/Foreman_Field_at_S.B._Ballard_Stadium
221,Rio Tinto Stadium,"20,008",Sandy,Utah,2008,Soccer,Real Salt Lake,https://en.wikipedia.org/wiki/Rio_Tinto_Stadium
222,Brown Stadium,"20,000",Providence,Rhode Island,1925,Football,Brown Bears,https://en.wikipedia.org/wiki/Brown_Stadium
223,FIU Stadium,"20,000",Miami,Florida,1995,Football,"FIU Golden Panthers, Miami FC",https://en.wikipedia.org/wiki/FIU_Stadium
224,Roy Kidd Stadium,"20,000",Richmond,Kentucky,1969,Football,Eastern Kentucky Colonels,https://en.wikipedia.org/wiki/Roy_Kidd_Stadium
225,Mesquite Memorial Stadium,"20,000",Mesquite,Texas,1977,Football,Local high schools,https://en.wikipedia.org/wiki/Mesquite_Memorial_Stadium
226,Kimbrough Memorial Stadium,"20,000",Canyon,Texas,1959,Football,"West Texas A&M University, local high schools",https://en.wikipedia.org/wiki/Kimbrough_Memorial_Stadium
227,Toyota Park,"20,000",Bridgeview,Illinois,2006,Soccer,Chicago Fire Soccer Club,https://en.wikipedia.org/wiki/Toyota_Park_(Bridgeview)
